"No employment, High income",Age Violation,Inconsistent Loan Pct,Credit History Violation
1083,,1371.0,5747.0
1085,,1385.0,5857.0
1088,,1391.0,5859.0
1121,,1396.0,5894.0
1124,,1414.0,5904.0
1127,,1415.0,5947.0
1131,,1427.0,6015.0
1139,,1434.0,6018.0
1143,,1436.0,6040.0
1148,,1453.0,6155.0
1150,,1463.0,6241.0
1160,,1473.0,6264.0
1164,,1493.0,6296.0
1198,,1503.0,6391.0
1201,,1508.0,6407.0
1202,,1510.0,6411.0
1207,,1525.0,6414.0
1208,,1551.0,6422.0
1216,,1553.0,6477.0
1220,,1554.0,6737.0
1239,,1576.0,6742.0
1249,,1591.0,6772.0
1254,,1601.0,6780.0
1263,,1608.0,6865.0
1266,,1634.0,6889.0
1271,,1644.0,6895.0
1278,,1670.0,6963.0
1283,,1681.0,7105.0
1284,,1684.0,7130.0
1295,,1690.0,7138.0
1305,,1692.0,7216.0
1312,,1706.0,7343.0
1316,,1708.0,7346.0
1326,,1730.0,7395.0
1331,,1738.0,7405.0
1339,,1741.0,7412.0
1348,,1760.0,7424.0
1365,,1765.0,7580.0
1372,,1771.0,7621.0
1378,,1774.0,7646.0
1389,,1776.0,7649.0
1393,,1814.0,7657.0
1396,,1817.0,7789.0
1408,,1830.0,7791.0
1427,,1844.0,7843.0
1445,,1847.0,7924.0
1447,,1855.0,7975.0
1453,,1881.0,8004.0
1457,,1908.0,8073.0
1463,,1909.0,8099.0
1472,,1917.0,8128.0
1473,,1937.0,8199.0
1484,,1952.0,8211.0
1493,,1954.0,8329.0
1495,,1959.0,8343.0
1500,,1966.0,8508.0
1509,,1976.0,8536.0
1512,,1981.0,8626.0
1518,,1983.0,8711.0
1523,,1994.0,8725.0
1532,,1998.0,8740.0
1543,,2003.0,8807.0
1572,,2026.0,8824.0
1576,,2038.0,8904.0
1582,,2041.0,8910.0
1593,,2053.0,8915.0
1624,,2059.0,8963.0
1630,,2060.0,8997.0
1631,,2074.0,9010.0
1635,,2076.0,9076.0
1666,,2077.0,9228.0
1673,,2081.0,9263.0
1699,,2086.0,9284.0
1702,,2094.0,9343.0
1709,,2096.0,9392.0
1714,,2097.0,9455.0
1756,,2114.0,9518.0
1761,,2119.0,9527.0
1764,,2121.0,9603.0
1770,,2126.0,9629.0
1772,,2138.0,9688.0
1776,,2151.0,9716.0
1781,,2164.0,9737.0
1787,,2172.0,9794.0
1788,,2175.0,9828.0
1791,,2176.0,9886.0
1799,,2193.0,9904.0
1804,,2195.0,9959.0
1808,,2208.0,9984.0
1809,,2209.0,9986.0
1811,,2216.0,10033.0
1817,,2223.0,10037.0
1835,,2227.0,10040.0
1844,,2231.0,10045.0
1864,,2240.0,10056.0
1886,,2254.0,10062.0
1887,,2261.0,10064.0
1905,,2270.0,10159.0
1926,,2271.0,10208.0
1944,,2273.0,10261.0
1945,,2283.0,10313.0
1949,,2284.0,10338.0
1955,,2292.0,10452.0
1958,,2305.0,10468.0
1959,,2312.0,10486.0
1964,,2313.0,10493.0
1965,,2333.0,10514.0
1970,,2348.0,10525.0
1975,,2355.0,10551.0
1994,,2365.0,10557.0
1999,,2367.0,10583.0
2005,,2371.0,10591.0
2010,,2373.0,10613.0
2028,,2375.0,10631.0
2029,,2380.0,10663.0
2036,,2383.0,10681.0
2047,,2384.0,10729.0
2051,,2391.0,10787.0
2073,,2398.0,10949.0
2118,,2413.0,11008.0
2120,,2420.0,11034.0
2129,,2421.0,11097.0
2145,,2427.0,11133.0
2149,,2435.0,11166.0
2151,,2449.0,11171.0
2152,,2454.0,11203.0
2153,,2457.0,11217.0
2163,,2459.0,11234.0
2175,,2461.0,11457.0
2186,,2466.0,11543.0
2202,,2472.0,11544.0
2206,,2473.0,11576.0
2208,,2487.0,11636.0
2244,,2492.0,11658.0
2246,,2498.0,11664.0
2252,,2525.0,11749.0
2257,,2534.0,11815.0
2264,,2537.0,11831.0
2268,,2542.0,11888.0
2271,,2551.0,11897.0
2272,,2555.0,11900.0
2282,,2565.0,11965.0
2286,,2573.0,11976.0
2289,,2596.0,11988.0
2290,,2616.0,11996.0
2296,,2617.0,12008.0
2303,,2623.0,12041.0
2305,,2625.0,12094.0
2316,,2630.0,12118.0
2328,,2634.0,12217.0
2330,,2640.0,12227.0
2332,,2646.0,12370.0
2333,,2666.0,12382.0
2334,,2688.0,12460.0
2354,,2705.0,12493.0
2384,,2706.0,12494.0
2385,,2711.0,12498.0
2389,,2720.0,12523.0
2393,,2728.0,12671.0
2408,,2730.0,12688.0
2410,,2760.0,12734.0
2428,,2761.0,12749.0
2431,,2771.0,12776.0
2436,,2805.0,12804.0
2449,,2813.0,12823.0
2460,,2822.0,12849.0
2461,,2824.0,12897.0
2466,,2870.0,12924.0
2482,,2874.0,12940.0
2501,,2877.0,12943.0
2507,,2879.0,12951.0
2540,,2883.0,12959.0
2555,,2887.0,12964.0
2557,,2894.0,13011.0
2560,,2895.0,13042.0
2568,,2908.0,13065.0
2571,,2924.0,13078.0
2578,,2940.0,13089.0
2582,,2948.0,13100.0
2595,,2955.0,13101.0
2610,,2962.0,13144.0
2613,,2970.0,13296.0
2622,,2973.0,13323.0
2623,,2980.0,13327.0
2627,,2984.0,13354.0
2630,,2986.0,13375.0
2634,,2995.0,13496.0
2642,,3010.0,13538.0
2643,,3021.0,13707.0
2646,,3025.0,13773.0
2659,,3030.0,13789.0
2662,,3034.0,13809.0
2668,,3035.0,13811.0
2669,,3041.0,13885.0
2676,,3047.0,14043.0
2689,,3048.0,14100.0
2693,,3068.0,14123.0
2694,,3076.0,14140.0
2698,,3080.0,14230.0
2701,,3089.0,14247.0
2707,,3103.0,14313.0
2717,,3107.0,14421.0
2748,,3111.0,14444.0
2759,,3156.0,14448.0
2763,,3157.0,14450.0
2766,,3159.0,14493.0
2767,,3162.0,14566.0
2774,,3179.0,14715.0
2776,,3183.0,14755.0
2778,,3192.0,14767.0
2785,,3205.0,14874.0
2791,,3208.0,14891.0
2810,,3209.0,14923.0
2815,,3212.0,14946.0
2818,,3226.0,14963.0
2826,,3246.0,14977.0
2832,,3248.0,14986.0
2839,,3258.0,14996.0
2851,,3263.0,15035.0
2859,,3269.0,15089.0
2864,,3312.0,15116.0
2866,,3315.0,15303.0
2868,,3320.0,15348.0
2874,,3325.0,15364.0
2882,,3326.0,15479.0
2887,,3328.0,15595.0
2896,,3332.0,15658.0
2906,,3340.0,15687.0
2926,,3352.0,15737.0
2930,,3361.0,15775.0
2943,,3370.0,15783.0
2962,,3399.0,15791.0
2974,,3410.0,15827.0
2980,,3422.0,15828.0
2995,,3432.0,15865.0
3005,,3434.0,15889.0
3006,,3442.0,15895.0
3020,,3444.0,15898.0
3022,,3451.0,15917.0
3040,,3455.0,15953.0
3044,,3466.0,15977.0
3046,,3478.0,16048.0
3078,,3491.0,16130.0
3080,,3494.0,16168.0
3099,,3501.0,16222.0
3100,,3503.0,16262.0
3107,,3505.0,16271.0
3109,,3514.0,16314.0
3111,,3516.0,16416.0
3122,,3529.0,16417.0
3125,,3545.0,16500.0
3132,,3547.0,16591.0
3134,,3549.0,16609.0
3138,,3572.0,16618.0
3139,,3575.0,16624.0
3140,,3591.0,16676.0
3143,,3597.0,16737.0
3144,,3634.0,16795.0
3151,,3692.0,16829.0
3157,,3698.0,16832.0
3165,,3718.0,16834.0
3166,,3720.0,16835.0
3171,,3721.0,16918.0
3180,,3722.0,16929.0
3186,,3723.0,16948.0
3193,,3744.0,17180.0
3204,,3747.0,17214.0
3214,,3757.0,17235.0
3223,,3772.0,17252.0
3234,,3775.0,17322.0
3237,,3812.0,17365.0
3243,,3829.0,17376.0
3248,,3834.0,17385.0
3250,,3838.0,17470.0
3254,,3846.0,17521.0
3276,,3856.0,17538.0
3288,,3859.0,17626.0
3296,,3890.0,17633.0
3309,,3894.0,17647.0
3329,,3921.0,17735.0
3330,,3948.0,17749.0
3333,,3952.0,17761.0
3335,,3958.0,17768.0
3337,,3970.0,17787.0
3338,,3978.0,17809.0
3350,,3986.0,17845.0
3353,,3990.0,17875.0
3366,,3992.0,17895.0
3367,,4000.0,17905.0
3371,,4007.0,17911.0
3388,,4020.0,18014.0
3394,,4027.0,18117.0
3406,,4097.0,18129.0
3409,,4105.0,18140.0
3410,,4115.0,18168.0
3413,,4122.0,18183.0
3415,,4142.0,18199.0
3418,,4148.0,18200.0
3423,,4149.0,18269.0
3427,,4180.0,18276.0
3436,,4184.0,18345.0
3442,,4190.0,18397.0
3456,,4192.0,18398.0
3464,,4213.0,18443.0
3468,,4215.0,18471.0
3476,,4217.0,18492.0
3502,,4230.0,18564.0
3511,,4232.0,18604.0
3515,,4234.0,18725.0
3516,,4244.0,18770.0
3533,,4251.0,18773.0
3534,,4267.0,18777.0
3540,,4273.0,18784.0
3543,,4283.0,18804.0
3552,,4307.0,18891.0
3570,,4313.0,18896.0
3584,,4316.0,18993.0
3610,,4320.0,19107.0
3620,,4323.0,19124.0
3624,,4324.0,19164.0
3636,,4326.0,19169.0
3643,,4327.0,19278.0
3645,,4337.0,19295.0
3646,,4341.0,19362.0
3650,,4347.0,19408.0
3651,,4372.0,19423.0
3653,,4380.0,19481.0
3656,,4383.0,19514.0
3661,,4391.0,19522.0
3663,,4394.0,19538.0
3675,,4402.0,19576.0
3676,,4405.0,19583.0
3684,,4434.0,19618.0
3689,,4441.0,19639.0
3690,,4455.0,19866.0
3695,,4462.0,19882.0
3709,,4470.0,19891.0
3714,,4471.0,19892.0
3727,,4477.0,19913.0
3729,,4480.0,19931.0
3731,,4483.0,20005.0
3735,,4485.0,20041.0
3757,,4493.0,20101.0
3770,,4511.0,20131.0
3773,,4524.0,20138.0
3780,,4531.0,20160.0
3781,,4537.0,20273.0
3785,,4547.0,20336.0
3797,,4557.0,20340.0
3799,,4566.0,20393.0
3814,,4573.0,20418.0
3817,,4578.0,20428.0
3819,,4584.0,20514.0
3825,,4586.0,20612.0
3827,,4609.0,20639.0
3840,,4612.0,20654.0
3842,,4630.0,20731.0
3846,,4637.0,20748.0
3867,,4652.0,20801.0
3873,,4664.0,20802.0
3876,,4671.0,20809.0
3884,,4672.0,20813.0
3894,,4677.0,20864.0
3897,,4680.0,20895.0
3905,,4698.0,20951.0
3924,,4699.0,21097.0
3925,,4708.0,21119.0
3928,,4709.0,21124.0
3930,,4714.0,21167.0
3932,,4729.0,21177.0
3941,,4752.0,21271.0
3956,,4780.0,21274.0
3958,,4788.0,21319.0
3961,,4791.0,21343.0
3964,,4794.0,21349.0
3966,,4806.0,21385.0
3972,,4836.0,21407.0
3974,,4843.0,21419.0
3985,,4844.0,21576.0
3993,,4845.0,21579.0
4019,,4847.0,21622.0
4023,,4853.0,21713.0
4024,,4889.0,21821.0
4031,,4913.0,21827.0
4062,,4940.0,21852.0
4068,,4950.0,21935.0
4082,,4973.0,21942.0
4097,,4981.0,21992.0
4099,,4985.0,21999.0
4121,,4990.0,22091.0
4134,,4999.0,22139.0
4141,,5026.0,22145.0
4142,,5032.0,22157.0
4148,,5042.0,22159.0
4169,,5046.0,22187.0
4177,,5053.0,22283.0
4178,,5054.0,22311.0
4190,,5061.0,22364.0
4193,,5067.0,22401.0
4212,,5084.0,22469.0
4215,,5101.0,22573.0
4217,,5106.0,22651.0
4230,,5117.0,22753.0
4242,,5127.0,22921.0
4246,,5156.0,22974.0
4256,,5176.0,23032.0
4266,,5180.0,23092.0
4281,,5185.0,23230.0
4282,,5189.0,23243.0
4297,,5194.0,23319.0
4349,,5202.0,23322.0
4352,,5216.0,23336.0
4364,,5231.0,23353.0
4370,,5255.0,23383.0
4384,,5259.0,23404.0
4398,,5275.0,23419.0
4401,,5280.0,23469.0
4402,,5294.0,23483.0
4404,,5296.0,23491.0
4411,,5304.0,23500.0
4433,,5318.0,23523.0
4438,,5321.0,23576.0
4439,,5346.0,23606.0
4446,,5387.0,23679.0
4455,,5420.0,23724.0
4463,,5436.0,23816.0
4465,,5449.0,23819.0
4470,,5453.0,23899.0
4472,,5477.0,24014.0
4478,,5533.0,24030.0
4479,,5589.0,24089.0
4493,,5601.0,24105.0
4496,,5638.0,24113.0
4530,,5664.0,24204.0
4536,,5674.0,24229.0
4537,,5675.0,24307.0
4538,,5676.0,24341.0
4546,,5691.0,24412.0
4552,,5692.0,24420.0
4564,,5704.0,24490.0
4565,,5717.0,24513.0
4566,,5728.0,24576.0
4570,,5732.0,24585.0
4574,,5737.0,24611.0
4582,,5739.0,24617.0
4587,,5750.0,24627.0
4600,,5795.0,24633.0
4601,,5812.0,24713.0
4603,,5814.0,24720.0
4608,,5833.0,24733.0
4616,,5838.0,24784.0
4618,,5844.0,24790.0
4621,,5852.0,24872.0
4623,,5853.0,24885.0
4641,,5870.0,24904.0
4645,,5910.0,24909.0
4647,,5914.0,24923.0
4651,,5934.0,25050.0
4657,,5949.0,25063.0
4665,,5973.0,25097.0
4671,,5978.0,25111.0
4678,,5990.0,25151.0
4679,,5992.0,25160.0
4681,,6025.0,25362.0
4694,,6026.0,25527.0
4695,,6030.0,25708.0
4704,,6033.0,25714.0
4711,,6037.0,25845.0
4712,,6044.0,25883.0
4724,,6050.0,25975.0
4730,,6056.0,26003.0
4742,,6057.0,26043.0
4745,,6090.0,26080.0
4746,,6112.0,26102.0
4752,,6116.0,26116.0
4763,,6128.0,26157.0
4765,,6129.0,26259.0
4780,,6130.0,26283.0
4800,,6134.0,26361.0
4803,,6135.0,26373.0
4807,,6141.0,26517.0
4808,,6143.0,26524.0
4809,,6145.0,26540.0
4812,,6150.0,26603.0
4816,,6153.0,26618.0
4818,,6164.0,26730.0
4826,,6177.0,26774.0
4827,,6178.0,26888.0
4846,,6205.0,26941.0
4853,,6225.0,26974.0
4857,,6226.0,27085.0
4858,,6227.0,27100.0
4864,,6241.0,27122.0
4884,,6254.0,27233.0
4888,,6258.0,27295.0
4911,,6264.0,27437.0
4930,,6265.0,27468.0
4933,,6275.0,27554.0
4937,,6299.0,27580.0
4949,,6302.0,27621.0
4951,,6304.0,27652.0
4966,,6314.0,27664.0
4967,,6315.0,27687.0
4970,,6329.0,27699.0
4981,,6353.0,27706.0
4990,,6365.0,27728.0
5001,,6378.0,27764.0
5010,,6385.0,27812.0
5012,,6386.0,27816.0
5016,,6391.0,27828.0
5019,,6398.0,27832.0
5022,,6410.0,27981.0
5033,,6416.0,27998.0
5038,,6425.0,27999.0
5039,,6426.0,28022.0
5046,,6429.0,28023.0
5047,,6438.0,28039.0
5049,,6444.0,28102.0
5052,,6445.0,28125.0
5057,,6446.0,28136.0
5061,,6447.0,28271.0
5065,,6469.0,28289.0
5089,,6475.0,28357.0
5099,,6477.0,28385.0
5111,,6492.0,28625.0
5112,,6498.0,28642.0
5124,,6506.0,28643.0
5126,,6513.0,28686.0
5131,,6522.0,28804.0
5134,,6527.0,28839.0
5142,,6546.0,28890.0
5148,,6547.0,28934.0
5158,,6558.0,28977.0
5160,,6577.0,29009.0
5179,,6588.0,29020.0
5184,,6592.0,29032.0
5185,,6608.0,29078.0
5187,,6618.0,29115.0
5188,,6639.0,29143.0
5194,,6646.0,29162.0
5199,,6668.0,29196.0
5204,,6681.0,29209.0
5234,,6685.0,29249.0
5238,,6701.0,29258.0
5250,,6729.0,29282.0
5254,,6741.0,29293.0
5257,,6771.0,29329.0
5258,,6777.0,29337.0
5259,,6785.0,29388.0
5262,,6791.0,29419.0
5264,,6799.0,29450.0
5268,,6800.0,29464.0
5270,,6814.0,29472.0
5277,,6822.0,29480.0
5278,,6840.0,29507.0
5285,,6872.0,29545.0
5292,,6874.0,29553.0
5293,,6882.0,29565.0
5298,,6890.0,29577.0
5299,,6902.0,29596.0
5304,,6907.0,29905.0
5306,,6920.0,30022.0
5308,,6939.0,30155.0
5312,,6956.0,30195.0
5329,,6957.0,30466.0
5331,,6973.0,30467.0
5336,,6978.0,30491.0
5350,,6980.0,30521.0
5351,,6997.0,30641.0
5354,,7000.0,30661.0
5358,,7016.0,30725.0
5359,,7030.0,30755.0
5361,,7033.0,30809.0
5366,,7037.0,30892.0
5392,,7047.0,30904.0
5398,,7058.0,30954.0
5402,,7074.0,30956.0
5410,,7077.0,30962.0
5422,,7083.0,30963.0
5423,,7100.0,30974.0
5425,,7102.0,30990.0
5456,,7120.0,30992.0
5465,,7129.0,30994.0
5472,,7137.0,30995.0
5483,,7139.0,31009.0
5484,,7140.0,31018.0
5493,,7159.0,31029.0
5499,,7184.0,31061.0
5507,,7191.0,31101.0
5508,,7229.0,31104.0
5520,,7249.0,31117.0
5524,,7262.0,31141.0
5538,,7269.0,31161.0
5550,,7272.0,31206.0
5559,,7274.0,31219.0
5562,,7276.0,31223.0
5572,,7285.0,31234.0
5576,,7319.0,31261.0
5577,,7331.0,31399.0
5581,,7340.0,31412.0
5583,,7347.0,31420.0
5588,,7360.0,31422.0
5591,,7362.0,31489.0
5597,,7374.0,31497.0
5600,,7387.0,31527.0
5601,,7411.0,31565.0
5606,,7412.0,31572.0
5619,,7413.0,31721.0
5634,,7428.0,31727.0
5649,,7440.0,31843.0
5659,,7447.0,31851.0
5668,,7455.0,31861.0
5682,,7475.0,31899.0
5687,,7478.0,32070.0
5699,,7483.0,32073.0
5700,,7484.0,32081.0
5706,,7498.0,32104.0
5720,,7502.0,32153.0
5726,,7506.0,32168.0
5736,,7510.0,32178.0
5750,,7517.0,32227.0
5752,,7522.0,32268.0
5760,,7526.0,32270.0
5789,,7533.0,32363.0
5793,,7555.0,32365.0
5799,,7557.0,32385.0
5804,,7566.0,32426.0
5811,,7582.0,32434.0
5815,,7587.0,32453.0
5819,,7595.0,32467.0
5843,,7608.0,32494.0
5845,,7636.0,32642.0
5854,,7639.0,32651.0
5858,,7642.0,32687.0
5863,,7644.0,32705.0
5878,,7660.0,32754.0
5884,,7684.0,32757.0
5885,,7686.0,32782.0
5886,,7690.0,32840.0
5887,,7703.0,33026.0
5888,,7705.0,33054.0
5909,,7710.0,33081.0
5920,,7716.0,33099.0
5924,,7717.0,33141.0
5926,,7742.0,33336.0
5930,,7744.0,33392.0
5943,,7762.0,33423.0
5952,,7774.0,33501.0
5954,,7785.0,33516.0
5972,,7789.0,33622.0
5979,,7794.0,33644.0
5983,,7795.0,33721.0
5984,,7796.0,33733.0
5988,,7798.0,33734.0
5995,,7799.0,33736.0
5997,,7820.0,33757.0
5998,,7826.0,33882.0
5999,,7833.0,33894.0
6001,,7866.0,33927.0
6009,,7871.0,33943.0
6015,,7873.0,34019.0
6027,,7885.0,34062.0
6029,,7901.0,34081.0
6034,,7905.0,34115.0
6038,,7927.0,34125.0
6049,,7935.0,34136.0
6053,,7938.0,34166.0
6061,,7961.0,34288.0
6068,,7962.0,34306.0
6072,,7965.0,34314.0
6074,,7969.0,34346.0
6087,,7979.0,34370.0
6102,,7996.0,34422.0
6109,,8011.0,34434.0
6130,,8031.0,34460.0
6131,,8040.0,34543.0
6138,,8054.0,34553.0
6139,,8056.0,34570.0
6149,,8057.0,34586.0
6154,,8075.0,34595.0
6160,,8077.0,34631.0
6168,,8123.0,34674.0
6179,,8129.0,34760.0
6184,,8130.0,34796.0
6205,,8146.0,34818.0
6207,,8148.0,34827.0
6214,,8157.0,34857.0
6241,,8168.0,34885.0
6260,,8171.0,34892.0
6266,,8176.0,34994.0
6281,,8185.0,35002.0
6293,,8200.0,35043.0
6298,,8203.0,35045.0
6311,,8206.0,35085.0
6315,,8213.0,35087.0
6339,,8216.0,35157.0
6342,,8222.0,35207.0
6345,,8230.0,35226.0
6367,,8236.0,35299.0
6369,,8238.0,35331.0
6370,,8240.0,35395.0
6380,,8253.0,35437.0
6388,,8255.0,35473.0
6410,,8262.0,35526.0
6417,,8264.0,35528.0
6418,,8286.0,35551.0
6430,,8297.0,35568.0
6432,,8304.0,35573.0
6447,,8313.0,35575.0
6449,,8321.0,35596.0
6475,,8333.0,35661.0
6477,,8339.0,35667.0
6483,,8340.0,35686.0
6496,,8345.0,35730.0
6524,,8353.0,35797.0
6536,,8375.0,35836.0
6538,,8385.0,35891.0
6564,,8388.0,35934.0
6565,,8389.0,35972.0
6566,,8392.0,36109.0
6584,,8393.0,36203.0
6585,,8404.0,36209.0
6596,,8413.0,36282.0
6618,,8415.0,36375.0
6628,,8420.0,36439.0
6635,,8423.0,36477.0
6642,,8427.0,36521.0
6650,,8432.0,36624.0
6656,,8443.0,36682.0
6668,,8455.0,36691.0
6671,,8466.0,36829.0
6682,,8467.0,36832.0
6700,,8476.0,36921.0
6701,,8478.0,37028.0
6705,,8504.0,37053.0
6728,,8516.0,37205.0
6729,,8519.0,37214.0
6731,,8521.0,37247.0
6749,,8529.0,37356.0
6759,,8531.0,37405.0
6772,,8532.0,37417.0
6778,,8535.0,37438.0
6780,,8542.0,37448.0
6786,,8549.0,37485.0
6793,,8555.0,37497.0
6804,,8557.0,37513.0
6824,,8578.0,37632.0
6837,,8590.0,37661.0
6842,,8604.0,37676.0
6846,,8611.0,37700.0
6855,,8670.0,37708.0
6859,,8697.0,37760.0
6862,,8705.0,37790.0
6881,,8708.0,37806.0
6913,,8711.0,37899.0
6916,,8712.0,37911.0
6927,,8720.0,37945.0
6938,,8722.0,37957.0
6947,,8766.0,38035.0
6967,,8798.0,38132.0
6968,,8820.0,38166.0
6974,,8823.0,38171.0
7003,,8832.0,38196.0
7017,,8845.0,38198.0
7019,,8853.0,38233.0
7031,,8871.0,38378.0
7062,,8911.0,38399.0
7069,,8912.0,38420.0
7074,,8915.0,38458.0
7087,,8917.0,38464.0
7097,,8921.0,38549.0
7104,,8925.0,38550.0
7110,,8945.0,38566.0
7113,,8952.0,38686.0
7128,,8954.0,38693.0
7135,,8957.0,38710.0
7142,,8958.0,38735.0
7149,,8964.0,38781.0
7164,,8968.0,38794.0
7166,,8969.0,38822.0
7182,,8971.0,38837.0
7189,,8990.0,38844.0
7203,,9000.0,38847.0
7206,,9008.0,38855.0
7213,,9018.0,38856.0
7221,,9030.0,38933.0
7222,,9036.0,38993.0
7228,,9039.0,39026.0
7239,,9048.0,39073.0
7245,,9055.0,39093.0
7246,,9062.0,39094.0
7257,,9068.0,39323.0
7261,,9070.0,39326.0
7263,,9077.0,39355.0
7267,,9088.0,39395.0
7283,,9097.0,39451.0
7284,,9101.0,39543.0
7287,,9102.0,39558.0
7289,,9115.0,39619.0
7301,,9161.0,39624.0
7316,,9162.0,39643.0
7317,,9165.0,39647.0
7321,,9170.0,39660.0
7334,,9180.0,39663.0
7346,,9185.0,39690.0
7347,,9192.0,39727.0
7350,,9193.0,39742.0
7375,,9196.0,39846.0
7376,,9199.0,39863.0
7381,,9210.0,39876.0
7383,,9212.0,39899.0
7391,,9219.0,40019.0
7405,,9227.0,40041.0
7419,,9240.0,40073.0
7428,,9269.0,40078.0
7429,,9270.0,40152.0
7435,,9276.0,40182.0
7436,,9287.0,40202.0
7437,,9290.0,40263.0
7448,,9309.0,40358.0
7463,,9322.0,40377.0
7471,,9340.0,40409.0
7473,,9353.0,40421.0
7484,,9360.0,40422.0
7485,,9367.0,40523.0
7490,,9376.0,40584.0
7503,,9379.0,40640.0
7511,,9386.0,40704.0
7515,,9387.0,40733.0
7533,,9410.0,40777.0
7542,,9415.0,40782.0
7551,,9422.0,40789.0
7556,,9435.0,40795.0
7561,,9464.0,40799.0
7562,,9468.0,40801.0
7564,,9470.0,40854.0
7571,,9477.0,40884.0
7575,,9488.0,40901.0
7583,,9497.0,40908.0
7588,,9517.0,40910.0
7589,,9521.0,40927.0
7593,,9541.0,40995.0
7597,,9542.0,40998.0
7607,,9553.0,40999.0
7612,,9565.0,41017.0
7614,,9570.0,41066.0
7620,,9575.0,41084.0
7625,,9584.0,41133.0
7627,,9591.0,41136.0
7645,,9615.0,41200.0
7651,,9618.0,41230.0
7662,,9620.0,41284.0
7666,,9621.0,41293.0
7667,,9626.0,41413.0
7673,,9653.0,41424.0
7687,,9659.0,41448.0
7696,,9660.0,41548.0
7697,,9662.0,41570.0
7703,,9706.0,41574.0
7707,,9719.0,41581.0
7711,,9738.0,41649.0
7734,,9739.0,41687.0
7735,,9748.0,41724.0
7738,,9753.0,41750.0
7742,,9772.0,41754.0
7743,,9773.0,41908.0
7746,,9779.0,41928.0
7749,,9787.0,42078.0
